ISOCODE,UNSDCODE,COUNTRY,CIESINCODE,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC,AVERAGE
AFG,4,Afghanistan,4,1.33,86.22,11.55,290.54,13.34,2.98,2.16,21.44,16.87,11.04,3.95,103.95,6.75,169.67,63.42,1.54,12.66,3.80,0.47,43.35
ALB,8,Albania,8,325.13,837.15,"3,776.65","31,784.45",276.06,3.91,526.85,341.02,431.66,52.78,"28,649.31",777.87,165.31,438.45,"2,757.71","5,445.55",34.91,33.48,65.36,"4,038.09"
DZA,12,Algeria,12,190.70,"3,292.61","1,082.29","22,761.96","3,667.00",260.51,"1,211.43","2,752.22","1,372.07",498.57,"4,173.74","1,337.67","1,786.31","1,548.45","1,315.50","6,062.10",621.29,"1,644.38",141.79,"2,932.66"
ASM,16,American Samoa,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGO,24,Angola,24,"285,482.47","552,226.93","476,680.97","397,487.10","1,091,495.61","816,669.92","657,120.19","137,321.15","591,564.67","515,475.62","425,416.92","272,733.18","297,938.62","339,610.56","334,230.44","336,731.58","313,270.41","323,664.08","287,495.22","444,874.51"
ATG,28,Antigua and Barbuda,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.08,0.00,0.01
AZE,31,Azerbaijan,31,"2,497.78","30,326.88","10,086.84","6,996.96","26,010.35","15,876.45","20,584.75","84,995.91","17,084.94","66,831.43","14,013.41","4,583.24","4,481.75","24,198.09","18,154.58","4,203.82","9,382.40",833.25,"57,518.73","22,034.82"
ARG,32,Argentina,32,"37,194.88","51,349.85","36,170.26","175,657.60","85,860.11","63,172.13","55,762.19","42,038.87","24,774.79","28,969.32","63,304.55","67,733.96","104,699.09","18,533.41","29,359.55","25,950.23","40,624.78","15,678.12","9,599.91","51,391.24"
AUS,36,Australia,36,"194,777.51","51,833.84","104,154.63","54,206.14","442,545.48","211,973.48","348,940.52","67,988.05","152,991.49","197,917.22","41,290.92","22,351.98","158,529.11","40,616.52","86,365.96","77,983.09","80,448.06","104,821.22","56,686.12","131,390.60"
AUT,40,Austria,40,5.26,10.38,6.36,17.47,310.96,22.86,442.94,521.89,50.47,13.30,292.77,31.91,2.97,9.21,43.86,2.49,13.29,35.76,2.81,96.68
