ISOCODE,UNSDCODE,COUNTRY,CIESINCODE,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC,AVERAGE
AFG,4,Afghanistan,4,39.00,885.52,119.28,"11,367.67",400.31,"5,691.20","14,451.85","17,434.91",154.31,109.46,167.62,58.90,31.99,"1,133.41",33.00,97.83,145.61,102.15,8.22,"2,759.59"
ALB,8,Albania,8,301.20,402.06,589.76,"42,257.91",83.96,1.57,274.65,59.45,35.22,31.97,"28,149.26",264.42,31.88,73.47,965.03,"5,733.06",6.83,6.75,32.12,"4,173.72"
DZA,12,Algeria,12,527.76,"11,329.21","4,215.06","76,086.73","3,661.24","5,449.00","5,466.07","5,455.36","6,222.83","5,914.48","33,760.24","5,380.89","6,457.95","2,145.81","8,588.64","35,785.84",813.76,"6,288.84","1,049.12","11,820.99"
ASM,16,American Samoa,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGO,24,Angola,24,"21,760,960.49","31,138,284.04","30,096,402.99","32,758,747.80","34,275,243.08","27,698,550.63","29,622,371.59","15,878,158.89","29,664,967.48","30,535,308.58","28,224,176.13","30,148,255.11","31,690,744.50","32,521,421.05","33,085,385.15","26,116,467.14","26,620,760.19","27,678,002.64","25,814,295.21","28,701,500.14"
ATG,28,Antigua and Barbuda,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.03,0.00,0.03
AZE,31,Azerbaijan,31,609.13,"8,274.91","2,547.54","2,106.91","3,682.76","4,890.38","11,916.68","29,549.64","1,705.02","23,690.90",960.90,828.64,525.87,"19,542.44","1,505.50","1,144.88","1,019.44",874.78,"18,360.45","7,038.78"
ARG,32,Argentina,32,"146,594.91","154,153.68","124,523.64","2,434,196.44","3,053,156.56","1,008,224.53","1,196,392.48","378,212.65","323,765.95","218,595.70","311,947.69","739,032.16","504,428.46","124,622.06","370,462.77","111,549.17","345,994.79","561,076.80","305,077.90","653,263.60"
AUS,36,Australia,36,"12,616,076.29","6,689,528.74","26,581,600.12","34,759,242.76","49,479,591.94","36,892,219.77","17,597,569.31","40,220,762.16","13,545,869.86","29,343,024.36","31,015,570.11","14,855,547.01","25,148,417.76","6,201,140.42","54,543,793.82","44,887,690.37","11,840,451.63","28,034,702.98","20,011,259.47","26,540,213.62"
AUT,40,Austria,40,8.22,3.63,1.25,18.33,8.51,24.95,2.44,12.18,5.41,0.98,1.70,5.50,1.27,3.57,2.91,0.64,8.15,5.29,28.04,7.52
BHS,44,Bahamas,44,185.10,"1,291.47",339.54,"1,129.74",700.30,"1,773.52",20.57,"1,676.23",610.80,470.77,312.11,"6,667.50","1,085.88",193.43,"5,202.22",219.04,"3,782.57",518.34,774.74,"1,418.62"
BHR,48,Bahrain,48,0.03,0.95,0.61,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.09
BGD,50,Bangladesh,50,"6,824.00","22,016.17","44,629.14","48,629.36","19,244.63","2,549.80","13,300.15","1,223.33","3,470.20","24,344.83","6,071.14","8,038.87","22,459.31","4,760.82","3,069.59","9,031.97","16,797.57","17,686.91","7,525.16","14,824.89"
ARM,51,Armenia,51,164.91,659.90,70.65,"1,283.43",285.36,460.48,66.92,"1,146.84",137.09,808.56,90.39,318.47,18.66,"6,483.52",212.90,227.87,907.08,162.18,729.46,749.19
BRB,52,Barbados,52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BEL,56,Belgium,56,546.17,98.71,131.36,23.90,35.28,1.53,9.93,13.06,4.83,3.38,1.37,123.53,2.79,1.22,2.27,0.89,1.26,1.41,3.39,52.96
BMU,60,Bermuda,60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTN,64,Bhutan,64,4.01,8.27,17.91,0.57,14.72,1.30,42.48,4.15,232.53,67.23,14.21,12.64,146.09,50.50,19.45,6.68,32.58,9.25,4.95,36.29
BOL,68,Bolivia (Plurinational State of),68,"913,607.83","1,132,899.10","3,839,119.10","1,855,606.87","1,084,705.12","1,696,937.53","971,725.76","6,123,451.87","3,971,811.41","2,329,870.17","2,740,489.53","759,220.19","137,465.90","8,780,818.42","750,935.31","2,648,411.80","829,717.14","289,602.38","1,259,493.58","2,216,625.74"
BIH,70,Bosnia and Herzegovina,70,136.15,716.75,701.32,"91,327.17","1,245.48",15.14,"15,769.39",28.77,78.62,284.18,"8,090.18",310.07,16.39,82.72,856.56,"11,735.28",53.42,18.41,319.93,"6,936.10"
BWA,72,Botswana,72,"3,727,178.29","1,288,250.47","1,184,822.08","3,050,803.16","2,632,520.12","2,439,109.41","373,680.56","790,460.96","682,354.98","2,815,339.42","1,011,486.46","6,089,889.30","916,202.15","5,461,716.31","8,069,169.53","1,960,603.26","1,152,533.68","1,397,250.40","563,047.77","2,400,337.81"
BRA,76,Brazil,76,"8,871,725.39","12,527,675.93","7,744,465.88","3,765,222.61","5,313,557.36","8,611,728.61","3,603,346.02","4,911,547.51","9,231,867.94","2,071,399.61","20,989,230.16","3,202,333.01","849,949.25","23,175,134.85","3,077,499.84","14,875,136.63","2,677,032.85","5,951,897.23","7,620,444.55","7,845,852.38"
BLZ,84,Belize,84,"2,433.60","27,121.30","2,413.60","28,340.72","1,407.86","1,503.52","9,402.20",227.46,"2,653.34","1,228.65","12,476.70","8,179.17","1,251.56","1,561.46","3,556.68",428.49,"7,483.23","1,453.56","3,097.21","6,116.86"
SLB,90,Solomon Islands,90,23.32,7.10,0.33,0.21,3.57,19.36,14.27,14.47,3.92,4.16,6.98,5.00,1.27,18.24,1.88,2.41,26.76,5.43,2.50,8.48
VGB,92,British Virgin Islands,92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.01
BRN,96,Brunei Darussalam,96,32.38,"1,515.83",5.36,0.99,5.90,86.49,31.72,127.73,10.27,0.91,0.70,6.67,9.51,44.39,8.38,10.90,2.60,14.15,59.25,103.90
BGR,100,Bulgaria,100,183.45,263.55,123.82,"12,859.21","5,135.51",202.92,101.86,243.71,205.13,461.05,"6,759.11",870.48,39.89,198.99,298.08,"1,646.21",92.40,111.91,561.00,"1,597.80"
MMR,104,Myanmar,104,"1,089,970.17","1,445,013.70","1,133,654.41","594,494.15","706,258.29","410,467.85","908,991.41","974,596.66","2,193,021.16","2,766,157.09","3,952,064.34","1,706,358.87","1,961,135.05","2,801,515.56","721,549.47","1,392,903.98","843,777.55","2,098,077.37","1,977,341.56","1,561,965.72"
BDI,108,Burundi,108,"183,166.48","254,654.40","78,841.17","221,912.56","22,394.53","33,427.21","29,908.82","29,928.07","13,531.65","4,428.90","3,580.26","7,116.64","5,377.68","11,410.69","6,522.26","5,906.34","8,467.30","4,882.25","7,392.41","49,097.35"
BLR,112,Belarus,112,322.73,296.20,"12,735.57","3,120.60",583.75,"17,269.19",259.82,175.63,182.51,"1,728.82",450.56,283.48,689.28,931.94,443.26,417.02,152.04,"1,322.40","1,820.08","2,272.89"
KHM,116,Cambodia,116,"977,107.63","2,348,524.36","959,925.45","1,034,579.74","3,075,402.58","4,390,691.38","2,521,790.21","5,996,566.53","1,918,920.53","923,981.11","5,461,030.80","2,470,803.97","1,448,176.70","2,494,600.73","6,727,191.40","607,161.07","1,241,401.99","2,066,778.02","2,872,801.83","2,607,233.48"
CMR,120,Cameroon,120,"5,775,402.57","4,597,446.26","4,772,481.06","5,265,922.12","7,427,066.11","2,102,921.83","6,027,639.79","2,847,712.92","5,362,619.78","3,488,923.76","3,225,548.74","2,786,131.46","3,626,245.32","2,381,634.59","1,950,970.92","1,561,664.16","1,838,071.91","1,349,901.37","913,960.30","3,542,224.47"
CAN,124,Canada,124,"3,730.11","195,904.85","59,503.68","19,498.92","3,631.32","4,064.89","8,382.06",573.17,387.26,"1,687.41",607.26,457.84,997.86,278.19,"4,057.12","5,558.84",127.65,362.56,"13,473.97","17,015.00"
CPV,132,Cape Verde,132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CYM,136,Cayman Islands,136,0.00,0.09,0.01,0.03,0.00,1.10,0.00,0.00,0.04,0.33,0.00,0.13,0.00,0.00,0.34,0.00,0.07,0.00,0.05,0.11
