UNSDCODE,COUNTRY,ISOCODE,CIESINCODE,Area_sqkm,Y1997burned_ha,Y1998burned_ha,Y1999burned_ha,Y2000burned_ha,Y2001burned_ha,Y2002burned_ha,Y2003burned_ha,Y2004burned_ha,Y2005burned_ha,Y2006burned_ha,Y2007burned_ha,Y2008burned_ha,Y2009burned_ha,Y2010burned_ha,Y2011burned_ha,Y2012burned_ha,Y2013burned_ha,Y2014burned_ha,Y2015burned_ha
4,Afghanistan,AFG,4,"640,612","18,936","83,261","27,817","37,764","18,595","29,682","129,223","31,803","17,462","22,428","24,062","28,810","14,893","60,656","19,905","12,880","17,401","11,921","5,918"
8,Albania,ALB,8,"33,739","12,604","18,501","21,403","61,411","10,223",693,"18,261","4,134","9,150","3,927","118,137","18,595","7,916","8,351","35,892","57,377","3,020","3,159","5,151"
12,Algeria,DZA,12,"2,329,744","77,587","246,939","182,167","269,008","127,626","110,786","121,488","162,217","162,248","108,923","242,697","105,544","154,261","138,435","101,396","306,324","77,553","213,549","80,202"
16,American Samoa,ASM,16,"6,738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Angola,AGO,24,"1,278,763","33,888,646","40,111,780","37,470,762","39,884,717","42,145,683","41,733,823","44,532,324","45,304,588","44,362,223","40,167,777","43,697,078","40,255,879","40,667,880","42,819,929","44,714,594","39,924,286","41,929,839","39,329,400","39,637,990"
28,Antigua and Barbuda,ATG,28,"4,422",9,14,10,6,0,0,0,52,0,0,0,0,138,0,0,0,0,68,0
31,Azerbaijan,AZE,31,"95,356","92,480","236,328","127,627","104,387","196,674","168,302","197,222","253,333","132,847","265,197","123,483","74,728","70,237","198,022","139,121","66,904","99,593","44,329","314,060"
32,Argentina,ARG,32,"2,850,190","2,918,917","3,049,945","2,903,795","5,459,637","6,242,776","4,296,803","5,458,214","3,621,746","2,627,500","2,727,495","2,731,841","3,810,085","2,904,977","2,074,211","2,327,671","2,131,053","2,483,288","2,004,830","1,824,739"
36,Australia,AUS,36,"8,257,347","43,511,230","40,407,688","84,839,459","76,435,889","95,466,477","78,793,738","31,536,879","64,028,940","27,651,605","56,665,747","51,867,028","30,233,635","40,541,093","18,616,389","87,585,451","88,890,149","28,780,673","47,089,172","41,801,722"
40,Austria,AUT,40,"83,785","1,858","2,272","1,663","2,625","4,044","1,584","5,471","3,701","2,143","1,405","2,884","2,763",753,"1,532","2,026",815,"1,646","1,663","1,696"
44,Bahamas,BHS,44,"135,022","9,273","20,137","11,719","18,782","10,514","11,882","2,131","46,222","22,266","15,753","17,059","41,716","19,513","6,875","45,242","13,160","36,638","13,046","14,861"
48,Bahrain,BHR,48,"3,465",83,712,726,52,0,0,0,0,0,0,187,17,0,99,46,0,0,0,26
50,Bangladesh,BGD,50,"151,899","56,527","169,130","218,306","193,933","88,890","24,464","75,000","53,821","106,257","118,635","92,683","58,643","116,849","60,925","47,394","65,119","81,204","86,108","55,495"
51,Armenia,ARM,51,"30,580","20,427","25,804","15,032","22,907","16,327","13,144","7,244","28,387","14,435","22,045","6,605","17,865","5,038","66,372","18,633","17,464","31,758","15,639","16,890"
52,Barbados,BRB,52,"2,254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Belgium,BEL,56,"31,777","8,265","5,065","4,345","2,206","2,547","1,074","2,888","1,498","2,021","1,612","1,102","5,793","1,187",462,"2,019",783,948,"1,099","1,099"
60,Bermuda,BMU,60,"1,957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Bhutan,BTN,64,"41,099","9,655","15,502","34,463","14,705","21,149","14,623","5,919","9,995","8,621","15,438","18,598","8,209","17,393","18,241","11,027","21,098","6,556","19,078","12,365"
68,Bolivia (Plurinational State of),BOL,68,"1,084,210","3,270,678","3,594,444","4,682,490","2,710,675","1,647,271","2,973,784","2,480,187","5,795,295","4,840,727","3,214,852","4,029,243","2,357,466","1,169,951","7,601,228","2,050,003","2,594,148","1,764,668","1,197,244","2,245,323"
70,Bosnia and Herzegovina,BIH,70,"51,487","21,238","27,603","18,706","154,220","15,199","5,328","84,623","6,642","9,221","10,066","48,694","18,914","10,678","4,671","25,283","78,952","5,451","7,211","13,755"
72,Botswana,BWA,72,"579,092","8,506,196","5,536,931","4,982,763","6,893,327","7,420,683","7,465,283","1,265,442","1,759,852","2,016,301","5,049,407","2,668,754","10,493,915","2,092,125","12,731,017","15,679,646","4,542,165","3,641,391","2,850,261","1,887,770"
76,Brazil,BRA,76,"8,672,715","21,958,287","26,511,782","21,667,804","9,349,707","15,079,405","23,059,139","15,623,339","19,100,474","21,846,169","10,971,203","34,587,453","12,675,190","7,452,686","31,489,499","10,891,558","24,011,145","10,163,716","16,948,588","18,940,435"
84,Belize,BLZ,84,"39,801","25,723","81,330","27,851","59,805","18,740","17,472","62,944","15,586","49,224","16,962","53,945","39,865","22,102","22,902","50,970","12,011","57,373","24,470","35,612"
90,Solomon Islands,SLB,90,"129,544","1,399",797,192,94,196,432,426,370,303,289,526,383,175,316,208,390,710,428,272
92,British Virgin Islands,VGB,92,"2,196",0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,0,0
96,Brunei Darussalam,BRN,96,"8,459","2,653","16,282",591,311,283,"1,111","1,539","1,245",805,88,178,548,"1,182","2,034",362,776,294,798,"2,189"
100,Bulgaria,BGR,100,"115,530","99,446","122,616","94,374","303,551","460,175","49,120","79,820","193,463","107,130","243,066","115,963","133,974","52,503","85,396","98,833","211,691","84,169","59,079","43,992"
104,Myanmar,MMR,104,"749,547","2,728,336","3,742,789","3,996,751","2,850,935","2,338,186","1,824,857","2,964,345","4,961,244","3,505,675","3,056,689","5,007,343","2,573,431","4,373,722","4,705,167","2,318,973","3,574,528","3,002,448","4,040,337","3,600,798"
108,Burundi,BDI,108,"27,728","312,588","380,470","224,676","368,318","120,321","222,498","161,670","197,621","128,114","60,584","61,587","87,140","72,026","109,602","50,870","61,509","77,844","58,283","78,404"
112,Belarus,BLR,112,"206,286","89,908","72,736","179,574","74,032","70,357","370,884","59,516","45,991","52,692","157,320","65,878","58,057","76,474","46,745","26,113","28,043","27,968","80,045","158,148"
116,Cambodia,KHM,116,"191,994","1,876,760","2,753,590","1,919,254",,"2,474,719","2,858,246","2,776,336","4,697,518","2,427,143","2,803,184","3,755,881","2,759,334","2,260,118","2,758,182","3,634,563","3,218,606","2,526,704","2,899,053","3,573,546"
120,Cameroon,CMR,120,"470,976","7,752,948","8,847,426","7,847,433","8,387,837","9,713,631","7,924,166","8,071,102","6,571,965","8,041,337","6,313,221","6,102,972","6,310,630","5,971,821","5,349,848","4,693,688","4,327,979","4,448,361","3,632,492","3,175,420"
124,Canada,CAN,124,"10,847,865","1,203,712","3,995,459","1,463,525","1,187,393","841,893","2,875,900","1,946,353","3,210,175","1,930,918","1,993,113","1,586,271","1,653,689","935,569","2,906,119","1,887,694","1,817,174","4,198,188","4,262,226","3,231,934"
132,Cape Verde,CPV,132,"20,765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Cayman Islands,CYM,136,"5,087",15,67,21,37,0,132,0,0,25,111,33,63,0,0,99,0,32,0,53
140,Central African Republic,CAF,140,"621,379","27,370,671","31,600,426","28,709,053","28,865,475","27,768,765","22,697,774","29,801,016","24,522,995","27,504,162","25,136,333","25,888,269","29,548,801","20,389,028","22,311,080","24,664,224","18,707,445","21,855,272","20,657,144","21,863,139"
144,Sri Lanka,LKA,144,"92,490","49,623","105,540","115,499","48,706","29,131","68,729","67,316","93,689","104,451","74,365","54,768","58,692","125,913","38,101","72,625","93,837","50,670","71,520","40,512"
148,Chad,TCD,148,"1,276,870","12,073,753","11,040,229","13,027,410","13,064,661","12,045,438","13,926,646","13,970,612","13,846,906","14,322,719","12,638,628","13,363,326","12,138,016","9,800,506","10,251,559","11,086,778","10,912,614","9,973,947","8,385,506","8,361,759"
152,Chile,CHL,152,"940,670","195,371","150,355","241,311","111,145","48,359","59,375","112,545","98,639","117,725","58,884","92,068","81,142","102,854","108,541","109,368","114,597","108,222","138,294","149,173"
156,China,CHN,156,"9,548,816","5,478,682","6,466,006","3,982,285","3,654,579","2,157,336","1,744,111","3,432,282","3,459,247","3,570,613","3,448,211","4,031,704","3,722,813","4,273,397","4,101,223","4,806,970","4,893,109","5,846,971","6,897,956","8,104,718"
158,Taiwan,TWN,158,"69,157","16,878","15,424","6,066","3,514","10,447","10,357","8,834","8,809","8,257","12,032","9,342","11,864","13,168","8,951","8,371","8,757","9,965","12,514","13,632"
170,Colombia,COL,170,"1,195,310","2,397,393","2,241,132","1,856,329","2,484,191","2,488,481","2,126,904","2,684,926","3,071,768","1,845,610","1,548,904","2,855,245","2,162,498","1,928,178","1,479,840","1,233,522","1,448,647","1,522,390","2,410,785","1,506,023"
174,Comoros,COM,174,"10,565",105,"3,745",104,78,"1,085",168,"1,996","1,695","2,837","1,021","4,439","3,763","1,810","2,582","2,541","2,916","3,455","2,760","1,922"
175,Mayotte,MYT,175,"3,762",12,12,11,0,0,0,0,129,0,0,0,0,0,0,0,0,110,0,0
178,Congo,COG,178,"347,647","2,678,191","2,911,652","2,613,666","1,781,293","2,359,803","1,973,524","2,097,749","1,956,608","2,279,349","2,351,974","1,906,340","1,735,889","1,949,964","2,120,342","2,496,170","2,763,019","3,106,928","2,646,090","2,775,467"
180,Democratic Republic of the Congo,COD,180,"2,329,674","48,179,518","55,745,254","49,309,994","45,697,381","48,698,587","42,450,947","41,043,514","45,271,757","44,591,765","46,032,497","38,804,296","42,003,856","43,793,528","44,891,964","43,008,966","38,782,231","42,994,442","41,318,447","40,627,289"
