UNSDCODE,COUNTRY,ISOCODE,CIESINCODE,country_pop,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC
4,Afghanistan,AFG,4," 24,575,344 ",40.33,971.74,130.83,"11,668.26",412.90,"5,693.56","14,453.87","17,457.71",171.08,120.84,172.58,162.84,41.82,"1,303.08",98.16,99.38,188.67,105.95,8.68
8,Albania,ALB,8," 2,860,184 ",626.33,"1,239.21","4,366.41","74,042.36",360.02,5.47,802.90,400.51,470.34,85.32,"56,805.33","1,042.30",197.19,512.09,"3,730.72","11,621.36",41.99,40.23,97.49
12,Algeria,DZA,12," 35,389,932 ",718.83,"14,629.75","5,327.31","98,848.79","7,317.46","5,831.76","6,678.55","8,200.49","7,993.98","6,545.11","41,613.17","7,057.88","9,288.55","3,871.80","10,739.17","55,724.13","1,483.12","8,266.76","1,197.96"
16,American Samoa,ASM,16," 55,519 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Angola,AGO,24," 21,352,999 ","22,130,225.65","32,840,008.36","30,610,691.31","33,683,685.50","38,200,235.97","30,342,057.56","31,571,334.26","16,390,232.68","33,186,237.23","34,177,168.74","29,672,072.55","32,045,509.67","34,153,900.16","34,457,089.71","35,253,787.14","27,677,262.06","28,624,256.23","30,020,666.05","27,176,420.16"
28,Antigua and Barbuda,ATG,28," 84,532 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.11,0.00
31,Azerbaijan,AZE,31," 8,882,022 ","3,115.50","38,685.22","12,643.73","9,111.75","29,931.92","20,648.27","32,506.55","114,597.60","18,894.16","90,572.90","14,999.51","5,475.68","5,007.74","43,748.12","19,691.00","5,354.30","10,444.03","1,738.37","75,879.23"
32,Argentina,ARG,32," 40,126,635 ","278,567.60","361,595.75","268,732.78","2,879,942.32","706,673.72","1,025,414.23","1,419,012.35","553,353.11","422,376.92","343,927.04","489,361.26","946,748.91","766,673.07","315,453.51","325,408.34","368,794.25","1,210,316.41","621,665.29","435,919.12"
36,Australia,AUS,36," 21,458,158 ","16,227,610.67","7,282,657.74","27,407,692.92","35,939,009.28","49,547,090.65","40,435,972.88","40,813,582.48","40,626,670.80","14,602,258.01","41,754,541.51","33,479,455.28","15,257,508.04","28,652,764.76","6,362,648.20","53,862,581.75","46,988,856.18","14,772,544.27","30,334,430.48","21,585,530.44"
40,Austria,AUT,40," 8,547,888 ",13.67,14.24,19.52,40.95,321.25,48.62,449.15,537.85,65.24,18.29,295.14,58.99,6.96,15.73,48.23,5.71,27.28,51.71,36.27
44,Bahamas,BHS,44," 351,461 ",266.02,"1,532.75",466.74,"1,295.04",796.91,"1,790.47",33.48,"1,340.57","1,072.66",969.29,"1,092.34","6,914.06","1,146.62",205.57,"6,263.80",670.53,"5,108.47",552.36,804.45
48,Bahrain,BHR,48," 1,222,856 ",0.03,0.95,0.61,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
50,Bangladesh,BGD,50," 139,128,789 ","7,830.20","107,295.13","577,935.12","170,739.78","67,951.10","2,776.12","30,541.57","1,769.64","168,370.90","63,347.88","43,707.52","9,102.87","73,975.68","5,307.94","3,687.49","11,691.18","38,901.17","34,201.58","13,524.27"
51,Armenia,ARM,51," 3,096,750 ",305.07,"2,819.14",191.56,"2,117.52","1,030.91",611.36,111.81,"2,922.07",512.65,"1,623.83",198.41,779.00,49.49,"10,320.45",387.90,353.30,"1,529.92",260.52,"1,071.40"
52,Barbados,BRB,52," 277,821 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Belgium,BEL,56," 11,231,181 ",553.04,101.68,133.62,25.86,51.51,7.99,21.07,16.39,9.95,9.78,6.12,188.59,14.06,1.66,217.05,2.63,4.01,7.00,6.95
60,Bermuda,BMU,60," 64,237 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Bhutan,BTN,64," 1,313,377 ",371.70,"1,044.79","10,308.44","1,873.97","3,098.94","2,224.40",240.08,"2,099.40",763.41,"1,397.11","15,606.59",486.96,"1,637.96","6,557.27",692.46,"5,418.60",251.29,"4,169.06","2,395.82"
68,Bolivia (Plurinational State of),BOL,68," 9,774,674 ","1,364,172.73","1,635,238.01","10,257,538.39","3,331,483.59","1,240,342.25","2,053,055.53","1,186,486.40","19,694,397.50","7,112,791.27","3,061,363.21","5,239,513.41","1,620,457.64","227,067.44","21,496,226.47","4,239,231.72","3,532,631.22","1,030,901.04","646,736.63","1,773,588.60"
70,Bosnia and Herzegovina,BIH,70," 3,773,916 ",581.67,"1,603.66","4,747.29","254,975.63","2,172.83",388.67,"67,458.00",250.54,743.06,"1,146.65","12,680.35","1,377.31",410.59,303.73,"2,025.79","26,369.83",161.24,415.88,"1,062.65"
72,Botswana,BWA,72," 1,923,834 ","4,104,554.60","1,306,706.83","1,188,594.79","3,067,214.31","2,589,594.63","2,462,358.20","383,894.29","797,804.32","695,906.61","2,837,263.39","1,018,223.14","6,106,576.43","935,339.64","5,501,261.02","8,129,661.49","1,971,009.15","1,176,554.68","1,409,429.33","580,262.58"
76,Brazil,BRA,76," 190,415,761 ","14,604,505.65","38,427,421.89","18,285,409.79","10,238,097.74","7,980,480.48","15,714,461.67","7,966,105.74","10,343,283.02","26,536,147.45","5,254,962.55","59,388,298.05","6,052,446.10","1,485,775.84","65,188,402.64","4,716,322.78","26,049,379.28","4,070,265.36","11,597,478.35","14,728,638.73"
84,Belize,BLZ,84," 353,866 ","4,853.07","70,071.35","5,166.00","124,360.53","6,226.10","4,397.37","41,098.92",520.60,"17,757.78","2,231.31","61,550.84","12,755.25","2,444.10","1,919.95","98,662.25",894.34,"20,012.85","7,367.37","15,468.88"
90,Solomon Islands,SLB,90," 528,216 ",24.28,7.43,0.36,0.22,2.38,21.90,14.27,21.57,4.12,4.31,8.38,6.06,1.72,18.24,1.29,3.16,29.91,6.14,2.50
92,British Virgin Islands,VGB,92," 33,099 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.14,0.00,0.00
96,Brunei Darussalam,BRN,96," 386,808 ",250.36,"18,774.26",8.21,3.57,5.90,157.66,325.50,169.13,12.07,0.91,1.11,9.56,93.85,264.09,8.30,19.42,2.64,15.52,152.92
100,Bulgaria,BGR,100," 7,373,879 ","2,561.95","5,714.15","3,147.92","139,964.43","115,784.24","2,661.75","4,797.59","31,341.33","7,696.17","28,613.16","25,990.11","10,285.96","2,370.81","8,075.75","8,821.33","80,221.63","15,359.44","2,657.66","3,824.16"
104,Myanmar,MMR,104," 52,274,945 ","1,226,765.53","2,617,737.01","2,096,478.43","1,101,430.52","946,412.33","597,856.40","1,818,409.41","1,156,843.58","3,669,985.58","4,098,340.39","7,710,730.56","2,115,965.05","3,969,438.58","6,106,028.09","1,219,043.83","2,611,276.34","1,784,950.58","4,619,583.87","3,880,725.66"
108,Burundi,BDI,108," 8,517,966 ","205,181.66","272,717.05","83,068.31","236,330.09","24,444.27","36,967.57","30,788.97","30,810.22","14,163.83","4,605.48","4,078.59","7,392.72","7,110.70","13,191.23","6,633.03","7,608.70","8,679.38","4,984.99","7,824.70"
112,Belarus,BLR,112," 9,260,762 ","2,011.80","1,622.71","131,273.00","16,440.94","5,288.42","111,937.69","1,957.97","1,041.03","1,695.94","12,399.43","2,823.30","4,053.33","3,829.27","1,787.33",974.16,880.48,"1,025.51","5,734.80","39,694.13"
116,Cambodia,KHM,116," 14,074,421 ","1,694,619.77","3,437,139.93","1,586,424.82","1,369,946.82","783,598.98","5,059,614.90","4,102,129.98","9,468,915.15","3,478,003.95","3,840,485.59","10,954,428.85","3,764,992.94","1,968,963.97","4,106,834.05","7,988,791.69","4,171,008.61","4,417,920.45","4,454,644.74","5,108,511.84"
120,Cameroon,CMR,120," 20,982,394 ","7,053,202.18","5,605,405.45","6,428,746.14","6,348,573.82","7,944,884.73","5,871,647.08","6,502,277.65","3,051,946.33","6,169,048.68","4,275,211.89","3,624,721.17","3,119,950.24","3,877,095.81","2,664,721.52","2,084,435.36","1,887,456.34","2,198,298.47","1,546,093.28","1,100,344.01"
124,Canada,CAN,124," 33,552,412 ","982,180.84","10,172,510.10","3,841,073.68","2,007,419.04","1,096,404.46","17,674,552.32","7,861,545.34","2,538,294.60","7,018,318.22","9,185,107.25","7,329,295.71","6,071,179.67","2,318,785.77","15,992,269.90","13,096,424.04","9,889,894.65","24,823,668.37","37,731,065.21","21,867,238.00"
132,Cape Verde,CPV,132," 491,875 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Cayman Islands,CYM,136," 55,036 ",0.01,0.11,0.01,0.05,0.00,1.10,0.00,0.00,0.04,0.60,0.10,0.26,0.00,0.00,0.45,0.00,0.07,0.00,0.18
