ISOCODE,UNSDCODE,COUNTRY,CIESINCODE,Y1997TCC,Y1998TCC,Y1999TCC,Y2000TCC,Y2001TCC,Y2002TCC,Y2003TCC,Y2004TCC,Y2005TCC,Y2006TCC,Y2007TCC,Y2008TCC,Y2009TCC,Y2010TCC,Y2011TCC,Y2012TCC,Y2013TCC,Y2014TCC,Y2015TCC,AVERAGE
AFG,4,Afghanistan,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.51,58.90,3.08,0.00,1.75,0.00,30.40,0.00,0.00,4.99
ALB,8,Albania,8,0.00,0.00,0.00,0.00,0.00,0.00,1.55,0.00,3.04,0.37,5.44,264.42,0.00,0.17,7.98,442.74,0.24,0.00,0.00,38.21
DZA,12,Algeria,12,0.38,7.93,29.96,0.01,0.19,0.00,0.94,1.73,374.51,119.22,"3,680.02","5,380.89","1,044.30",177.54,835.59,"13,875.61",48.07,333.54,7.05,"1,364.08"
ASM,16,American Samoa,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGO,24,Angola,24,0.00,0.00,0.00,0.00,0.00,0.00,"7,017.89",0.00,"2,772.18","11,397.81","1,037.51","30,148,255.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,587,920.03"
ATG,28,Antigua and Barbuda,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AZE,31,Azerbaijan,31,8.59,83.43,9.35,7.62,244.42,4.44,4.62,49.07,104.20,68.71,26.03,828.64,0.13,7.59,33.59,2.85,42.20,30.34,0.06,81.89
ARG,32,Argentina,32,"72,841.38","98,605.09","52,025.32","283,200.89","78,414.81","126,660.66","121,080.94","108,241.04","56,901.49","27,838.43","94,885.12","739,032.16","61,415.72","77,215.08","68,526.73","35,106.08","71,266.51","32,717.11","116,135.31","122,216.31"
AUS,36,Australia,36,"3,372,044.83","433,796.67","396,043.33","690,418.18","1,738,554.51","4,067,931.08","21,643,766.15","86,782.11","50,291.60","11,325,082.49","2,192,330.06","14,855,547.01","2,190,225.76","90,332.48","198,289.72","495,825.78","2,292,419.61","1,843,235.80","763,191.48","3,617,163.61"
AUT,40,Austria,40,0.18,0.23,11.91,5.09,1.78,0.82,4.70,3.78,7.52,3.85,0.45,5.50,2.73,2.96,1.46,2.58,5.83,10.67,5.42,4.08
BHS,44,Bahamas,44,67.23,126.39,91.33,93.02,64.81,0.05,0.08,107.60,407.38,42.54,53.77,"6,667.50",0.00,0.11,"1,006.66",416.66,"1,269.23",0.00,0.19,548.13
BHR,48,Bahrain,48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BGD,50,Bangladesh,50,126.99,"2,325.88",979.31,798.82,"3,852.35",214.95,"5,954.36",0.00,"69,975.34","5,670.60","16,639.72","8,038.87",990.19,347.64,139.02,241.32,196.12,"1,119.17",56.85,"6,193.03"
